,ID,Delivery_person_Ratings,Delivery_person_Age,time_periods,Time_taken(min),Age_Group,Time_Group
68,0x273a ,4.8,35,13:00-16:00,16,30-40,10-20
69,0xa258 ,4.6,39,19:00-22:00,36,30-40,30-40
70,0x8b53 ,4.7,22,10:00-13:00,18,20-30,10-20
71,0xbbde ,4.6,32,13:00-16:00,17,30-40,10-20
72,0x5ded ,4.8,24,22:00-23:59,15,20-30,10-20
73,0x1a70 ,4.7,29,10:00-13:00,17,20-30,10-20
75,0x4b7f ,4.7,26,22:00-23:59,10,20-30,10-20
76,0xc606 ,4.5,20,19:00-22:00,27,20-30,20-30
77,0xb962 ,4.1,35,19:00-22:00,37,30-40,30-40
78,0x633c ,4.6,39,19:00-22:00,44,30-40,40-54
79,0x2dc6 ,4.7,34,10:00-13:00,28,30-40,20-30
80,0x903a ,4.7,27,19:00-22:00,42,20-30,40-54
81,0xc444 ,4.8,30,22:00-23:59,25,30-40,20-30
82,0x1fb7 ,4.4,25,16:00-19:00,39,20-30,30-40
83,0x34d7 ,4.7,25,16:00-19:00,20,20-30,20-30
84,0x156b ,5.0,30,10:00-13:00,31,30-40,30-40
85,0x56ad ,4.6,24,19:00-22:00,13,20-30,10-20
87,0xcbc4 ,4.8,25,10:00-13:00,19,20-30,10-20
88,0xc19e ,4.6,37,22:00-23:59,42,30-40,40-54
89,0x1d60 ,5.0,24,10:00-13:00,23,20-30,20-30
90,0x95fb ,4.2,25,19:00-22:00,39,20-30,30-40
91,0x8195 ,4.6,32,10:00-13:00,25,30-40,20-30
92,0xc042 ,4.7,34,22:00-23:59,15,30-40,10-20
93,0x6d19 ,4.9,38,07:00-10:00,15,30-40,10-20
94,0x35e6 ,4.8,36,16:00-19:00,15,30-40,10-20
96,0x97e3 ,5.0,29,22:00-23:59,18,20-30,10-20
97,0xa3e0 ,4.7,36,22:00-23:59,29,30-40,20-30
98,0x4161 ,4.7,33,22:00-23:59,20,30-40,20-30
99,0x1236 ,4.4,36,10:00-13:00,39,30-40,30-40
100,0x2558 ,4.8,21,22:00-23:59,19,20-30,10-20
101,0x3185 ,4.8,25,22:00-23:59,19,20-30,10-20
102,0x3c57 ,4.8,23,22:00-23:59,17,20-30,10-20
103,0x4863 ,4.6,25,10:00-13:00,15,20-30,10-20
104,0x6757 ,4.3,24,07:00-10:00,19,20-30,10-20
105,0x22ad ,4.6,27,19:00-22:00,29,20-30,20-30
106,0x9f99 ,4.8,23,22:00-23:59,22,20-30,20-30
107,0x6781 ,4.3,21,19:00-22:00,42,20-30,40-54
108,0x1b8d ,4.7,27,10:00-13:00,12,20-30,10-20
109,0x1aea ,4.2,32,19:00-22:00,38,30-40,30-40
110,0x1e42 ,4.6,25,22:00-23:59,23,20-30,20-30
111,0xddc8 ,4.7,39,10:00-13:00,15,30-40,10-20
112,0x24ac ,4.6,27,22:00-23:59,24,20-30,20-30
113,0x3f01 ,3.8,39,19:00-22:00,37,30-40,30-40
114,0x628c ,4.8,31,22:00-23:59,24,30-40,20-30
115,0x6c38 ,4.8,31,22:00-23:59,13,30-40,10-20
117,0x8339 ,4.9,36,16:00-19:00,42,30-40,40-54
118,0x3ec5 ,4.9,20,22:00-23:59,17,20-30,10-20
119,0xadb4 ,4.6,24,19:00-22:00,25,20-30,20-30
121,0x2bc0 ,4.2,39,16:00-19:00,39,30-40,30-40
122,0x99e7 ,4.8,37,13:00-16:00,18,30-40,10-20
123,0x39ef ,4.9,32,16:00-19:00,28,30-40,20-30
124,0xe264 ,4.5,22,22:00-23:59,18,20-30,10-20
125,0xbd03 ,4.9,23,00:00-04:00,18,20-30,10-20
126,0x9a29 ,4.7,33,19:00-22:00,49,30-40,40-54
128,0xa480 ,4.6,27,22:00-23:59,21,20-30,20-30
129,0xb46c ,4.7,34,13:00-16:00,23,30-40,20-30
130,0x7150 ,5.0,26,10:00-13:00,11,20-30,10-20
131,0x1e58 ,4.6,31,19:00-22:00,25,30-40,20-30
132,0x4460 ,4.9,32,07:00-10:00,18,30-40,10-20
133,0x977d ,4.7,27,07:00-10:00,14,20-30,10-20
134,0x1602 ,4.9,21,16:00-19:00,36,20-30,30-40
136,0x5a01 ,4.9,24,16:00-19:00,17,20-30,10-20
137,0x655 ,4.4,33,07:00-10:00,28,30-40,20-30
138,0x20f6 ,4.6,20,19:00-22:00,44,20-30,40-54
139,0x3db1 ,4.3,31,22:00-23:59,20,30-40,20-30
141,0x8ed2 ,5.0,36,19:00-22:00,35,30-40,30-40
142,0x64cc ,4.2,31,19:00-22:00,50,30-40,40-54
143,0x2ed0 ,4.1,39,19:00-22:00,34,30-40,30-40
145,0x7553 ,4.6,29,13:00-16:00,23,20-30,20-30
146,0x35d8 ,4.9,37,16:00-19:00,27,30-40,20-30
147,0x9832 ,4.7,33,10:00-13:00,26,30-40,20-30
148,0x4c88 ,3.9,31,22:00-23:59,35,30-40,30-40
149,0x9693 ,4.6,37,10:00-13:00,41,30-40,40-54
151,0xae56 ,4.6,24,16:00-19:00,30,20-30,30-40
152,0x8d18 ,4.8,23,10:00-13:00,19,20-30,10-20
153,0x9cba ,4.9,36,07:00-10:00,27,30-40,20-30
154,0x9b79 ,4.8,39,10:00-13:00,28,30-40,20-30
155,0x596a ,4.7,20,16:00-19:00,24,20-30,20-30
156,0x78aa ,5.0,20,19:00-22:00,36,20-30,30-40
157,0xd7ec ,4.3,29,22:00-23:59,28,20-30,20-30
158,0x55b1 ,4.8,36,16:00-19:00,31,30-40,30-40
159,0x87e4 ,4.0,36,19:00-22:00,44,30-40,40-54
160,0x82c3 ,4.8,22,22:00-23:59,15,20-30,10-20
161,0x5397 ,4.4,38,16:00-19:00,33,30-40,30-40
162,0x876b ,4.9,39,19:00-22:00,30,30-40,30-40
163,0x3a5a ,4.9,24,16:00-19:00,22,20-30,20-30
164,0x51e4 ,4.1,30,22:00-23:59,43,30-40,40-54
165,0x5631 ,4.8,35,16:00-19:00,48,30-40,40-54
166,0x1dac ,4.5,33,22:00-23:59,19,30-40,10-20
167,0xde01 ,4.7,39,16:00-19:00,21,30-40,20-30
168,0x8771 ,4.3,31,19:00-22:00,44,30-40,40-54
169,0x3645 ,4.5,37,07:00-10:00,26,30-40,20-30
170,0x1ff1 ,4.7,37,22:00-23:59,26,30-40,20-30
171,0x4a3c ,5.0,33,10:00-13:00,31,30-40,30-40
172,0x6e0d ,4.6,24,22:00-23:59,19,20-30,10-20
173,0x6cc6 ,4.5,33,19:00-22:00,18,30-40,10-20
174,0xc141 ,4.7,39,16:00-19:00,38,30-40,30-40
175,0x690f ,4.6,37,16:00-19:00,32,30-40,30-40
176,0xb4ba ,4.9,25,22:00-23:59,17,20-30,10-20
177,0x63a9 ,4.8,28,19:00-22:00,11,20-30,10-20
178,0x88dd ,4.7,38,13:00-16:00,31,30-40,30-40
180,0x87a8 ,4.6,31,16:00-19:00,25,30-40,20-30
181,0x3f8d ,4.8,25,19:00-22:00,22,20-30,20-30
182,0x290c ,4.9,35,19:00-22:00,43,30-40,40-54
183,0x7ece ,4.7,39,19:00-22:00,42,30-40,40-54
184,0x1365 ,3.9,38,19:00-22:00,42,30-40,40-54
185,0x33a4 ,4.7,35,19:00-22:00,34,30-40,30-40
186,0x8f3c ,4.7,29,07:00-10:00,17,20-30,10-20
187,0x2fe1 ,4.6,27,19:00-22:00,25,20-30,20-30
188,0x4b5b ,4.3,38,19:00-22:00,54,30-40,
189,0x7405 ,4.9,36,22:00-23:59,21,30-40,20-30
191,0xd02b ,4.1,26,19:00-22:00,36,20-30,30-40
192,0x1f0e ,4.9,36,16:00-19:00,17,30-40,10-20
193,0x7085 ,4.7,21,07:00-10:00,16,20-30,10-20
194,0x57fa ,4.7,35,19:00-22:00,27,30-40,20-30
195,0x57fc ,4.5,20,10:00-13:00,26,20-30,20-30
196,0x7a1f ,4.6,23,19:00-22:00,46,20-30,40-54
197,0xceac ,5.0,37,19:00-22:00,29,30-40,20-30
198,0xa0a5 ,4.8,26,19:00-22:00,23,20-30,20-30
200,0x6118 ,4.9,26,16:00-19:00,28,20-30,20-30
201,0x46fd ,4.8,29,19:00-22:00,25,20-30,20-30
202,0x5134 ,4.7,29,10:00-13:00,11,20-30,10-20
203,0xd418 ,4.9,21,16:00-19:00,26,20-30,20-30
204,0x256c ,4.3,22,10:00-13:00,23,20-30,20-30
205,0x6055 ,4.0,31,16:00-19:00,39,30-40,30-40
208,0x1568 ,4.8,36,16:00-19:00,43,30-40,40-54
210,0x1c60 ,4.7,32,07:00-10:00,25,30-40,20-30
211,0x7944 ,5.0,25,16:00-19:00,27,20-30,20-30
212,0x77ee ,4.5,27,13:00-16:00,29,20-30,20-30
213,0x2192 ,4.1,32,16:00-19:00,33,30-40,30-40
214,0x48c7 ,4.7,23,16:00-19:00,19,20-30,10-20
215,0x78bf ,4.4,39,16:00-19:00,33,30-40,30-40
216,0x7a5a ,4.8,20,19:00-22:00,28,20-30,20-30
218,0xe00d ,4.6,29,19:00-22:00,29,20-30,20-30
219,0x1e86 ,4.9,26,22:00-23:59,18,20-30,10-20
220,0xcff0 ,5.0,25,10:00-13:00,14,20-30,10-20
221,0x1e2d ,4.7,34,16:00-19:00,30,30-40,30-40
222,0xd072 ,4.9,31,13:00-16:00,28,30-40,20-30
223,0x9a57 ,4.7,24,19:00-22:00,39,20-30,30-40
224,0x427b ,4.9,30,19:00-22:00,30,30-40,30-40
225,0x52e2 ,4.8,36,16:00-19:00,36,30-40,30-40
227,0xb5d2 ,4.7,26,19:00-22:00,43,20-30,40-54
229,0xd1c8 ,4.8,20,16:00-19:00,25,20-30,20-30
230,0x98ca ,4.7,33,16:00-19:00,15,30-40,10-20
232,0x644b ,4.0,34,19:00-22:00,39,30-40,30-40
233,0x7a2d ,4.6,36,22:00-23:59,20,30-40,20-30
234,0xe13f ,4.6,33,10:00-13:00,15,30-40,10-20
235,0xc278 ,4.8,22,22:00-23:59,16,20-30,10-20
236,0x5912 ,4.7,38,10:00-13:00,19,30-40,10-20
237,0xab33 ,4.9,27,22:00-23:59,20,20-30,20-30
238,0xdd96 ,4.8,32,19:00-22:00,25,30-40,20-30
239,0x7646 ,4.8,26,19:00-22:00,43,20-30,40-54
240,0x5ef5 ,4.5,29,22:00-23:59,15,20-30,10-20
241,0x7ef7 ,4.5,31,19:00-22:00,29,30-40,20-30
242,0x1136 ,4.6,28,10:00-13:00,14,20-30,10-20
243,0xd032 ,4.8,21,16:00-19:00,11,20-30,10-20
245,0x871c ,4.9,30,22:00-23:59,29,30-40,20-30
246,0xcf18 ,4.7,29,13:00-16:00,11,20-30,10-20
247,0x1dad ,4.8,20,10:00-13:00,14,20-30,10-20
248,0xc918 ,5.0,28,22:00-23:59,15,20-30,10-20
249,0x33c1 ,4.7,25,22:00-23:59,16,20-30,10-20
251,0x27fe ,4.8,38,10:00-13:00,20,30-40,20-30
252,0x1536 ,4.9,39,22:00-23:59,26,30-40,20-30
253,0xa152 ,4.9,26,16:00-19:00,26,20-30,20-30
254,0x9c9a ,4.4,33,19:00-22:00,43,30-40,40-54
255,0x3052 ,4.6,24,16:00-19:00,25,20-30,20-30
256,0x1045 ,4.9,24,13:00-16:00,28,20-30,20-30
257,0x2391 ,4.5,33,22:00-23:59,17,30-40,10-20
258,0x7ddd ,4.2,35,19:00-22:00,44,30-40,40-54
259,0x279f ,4.2,27,19:00-22:00,33,20-30,30-40
261,0xaefa ,4.5,29,16:00-19:00,15,20-30,10-20
262,0xdad6 ,4.7,34,22:00-23:59,27,30-40,20-30
263,0xc237 ,4.7,20,10:00-13:00,25,20-30,20-30
264,0x4efc ,4.8,29,13:00-16:00,18,20-30,10-20
265,0x6e33 ,4.9,22,16:00-19:00,21,20-30,20-30
266,0xd92f ,4.9,35,19:00-22:00,53,30-40,40-54
267,0xd902 ,4.4,32,19:00-22:00,42,30-40,40-54
268,0xd91a ,4.9,28,19:00-22:00,20,20-30,20-30
269,0x4f0c ,4.7,30,22:00-23:59,29,30-40,20-30
270,0x8456 ,4.7,22,19:00-22:00,15,20-30,10-20
271,0x3329 ,4.7,36,16:00-19:00,30,30-40,30-40
272,0x1aa8 ,4.8,23,19:00-22:00,28,20-30,20-30
274,0xd27b ,4.5,29,22:00-23:59,15,20-30,10-20
275,0xadd6 ,4.9,34,19:00-22:00,50,30-40,40-54
276,0x7c60 ,4.1,38,10:00-13:00,41,30-40,40-54
277,0x4fb8 ,5.0,35,16:00-19:00,37,30-40,30-40
278,0x1406 ,4.7,38,19:00-22:00,28,30-40,20-30
279,0xc63e ,4.3,32,16:00-19:00,35,30-40,30-40
280,0x7b03 ,4.5,20,19:00-22:00,27,20-30,20-30
281,0x4314 ,4.9,25,19:00-22:00,43,20-30,40-54
283,0xc044 ,4.7,32,19:00-22:00,31,30-40,30-40
284,0xd7d3 ,4.1,39,19:00-22:00,39,30-40,30-40
285,0x70b1 ,4.4,31,19:00-22:00,47,30-40,40-54
286,0x59e5 ,4.5,37,22:00-23:59,26,30-40,20-30
287,0xdeac ,4.9,36,16:00-19:00,31,30-40,30-40
288,0xa053 ,3.8,37,19:00-22:00,42,30-40,40-54
291,0xd3bc ,4.4,37,22:00-23:59,39,30-40,30-40
293,0x7c84 ,4.9,35,16:00-19:00,18,30-40,10-20
294,0x96d2 ,4.8,22,19:00-22:00,22,20-30,20-30
295,0x77b5 ,4.8,28,07:00-10:00,23,20-30,20-30
296,0x75dc ,4.0,39,16:00-19:00,48,30-40,40-54
297,0xbe78 ,4.5,29,22:00-23:59,13,20-30,10-20
298,0x35a2 ,4.6,39,10:00-13:00,32,30-40,30-40
299,0x416f ,4.9,25,19:00-22:00,16,20-30,10-20
300,0xa4f5 ,5.0,34,16:00-19:00,19,30-40,10-20
301,0xa4eb ,4.8,22,07:00-10:00,18,20-30,10-20
302,0xd4da ,5.0,27,19:00-22:00,27,20-30,20-30
303,0xb59b ,4.5,28,16:00-19:00,25,20-30,20-30
304,0x4f73 ,5.0,32,16:00-19:00,31,30-40,30-40
306,0xadae ,4.6,27,16:00-19:00,20,20-30,20-30
307,0xb785 ,3.9,35,19:00-22:00,38,30-40,30-40
308,0x8366 ,4.6,22,22:00-23:59,19,20-30,10-20
309,0xbff2 ,4.7,35,19:00-22:00,17,30-40,10-20
310,0x8f58 ,4.6,30,10:00-13:00,24,30-40,20-30
311,0x247c ,4.8,39,10:00-13:00,26,30-40,20-30
312,0x43b9 ,4.8,33,16:00-19:00,28,30-40,20-30
313,0x9e8a ,4.7,20,16:00-19:00,16,20-30,10-20
314,0x47af ,4.7,20,16:00-19:00,17,20-30,10-20
315,0x1b40 ,4.2,34,22:00-23:59,24,30-40,20-30
317,0xb50 ,4.3,37,10:00-13:00,34,30-40,30-40
318,0x3376 ,4.8,20,07:00-10:00,16,20-30,10-20
319,0xbecb ,4.9,33,22:00-23:59,26,30-40,20-30
320,0x4357 ,5.0,21,16:00-19:00,25,20-30,20-30
321,0x1486 ,4.6,33,16:00-19:00,49,30-40,40-54
322,0x5b70 ,4.6,24,16:00-19:00,24,20-30,20-30
323,0x490e ,4.7,36,10:00-13:00,32,30-40,30-40
324,0x3e21 ,4.6,30,19:00-22:00,26,30-40,20-30
325,0x26d4 ,4.9,32,22:00-23:59,24,30-40,20-30
326,0xb20f ,4.6,28,19:00-22:00,16,20-30,10-20
327,0x7ada ,4.7,21,19:00-22:00,27,20-30,20-30
328,0xc4b3 ,4.9,39,10:00-13:00,25,30-40,20-30
329,0x2a01 ,4.7,32,07:00-10:00,26,30-40,20-30
330,0x6357 ,4.5,20,19:00-22:00,25,20-30,20-30
332,0x9c2a ,5.0,36,07:00-10:00,15,30-40,10-20
333,0x31bd ,4.8,28,10:00-13:00,18,20-30,10-20
334,0x970a ,4.5,32,19:00-22:00,30,30-40,30-40
335,0x2675 ,4.4,39,19:00-22:00,46,30-40,40-54
336,0xa200 ,4.7,30,22:00-23:59,24,30-40,20-30
337,0x9bf9 ,4.4,32,16:00-19:00,37,30-40,30-40
338,0x555d ,4.6,23,19:00-22:00,27,20-30,20-30
340,0xb2e9 ,4.2,31,16:00-19:00,32,30-40,30-40
341,0x8633 ,4.6,37,10:00-13:00,28,30-40,20-30
342,0x4c34 ,4.5,20,19:00-22:00,29,20-30,20-30
343,0xa998 ,4.5,28,10:00-13:00,27,20-30,20-30
344,0x5efd ,4.9,22,07:00-10:00,11,20-30,10-20
345,0x8d83 ,4.7,20,16:00-19:00,13,20-30,10-20
346,0x8a06 ,4.8,34,22:00-23:59,27,30-40,20-30
347,0x5a2d ,4.8,38,10:00-13:00,25,30-40,20-30
349,0x83ea ,4.5,32,10:00-13:00,27,30-40,20-30
350,0x2185 ,4.9,34,22:00-23:59,26,30-40,20-30
351,0x12e7 ,3.9,33,16:00-19:00,32,30-40,30-40
352,0x5956 ,4.5,34,10:00-13:00,25,30-40,20-30
353,0x7814 ,4.6,32,19:00-22:00,32,30-40,30-40
355,0x5a07 ,4.7,34,19:00-22:00,29,30-40,20-30
356,0x340f ,4.6,26,19:00-22:00,32,20-30,30-40
357,0x8094 ,4.0,31,22:00-23:59,35,30-40,30-40
358,0x3241 ,4.8,39,13:00-16:00,27,30-40,20-30
359,0xde16 ,4.8,27,07:00-10:00,15,20-30,10-20
360,0xa176 ,5.0,32,19:00-22:00,27,30-40,20-30
361,0xc8c7 ,4.5,32,16:00-19:00,30,30-40,30-40
362,0xaa97 ,4.1,39,16:00-19:00,32,30-40,30-40
363,0xa64c ,4.8,36,10:00-13:00,25,30-40,20-30
364,0x7df5 ,4.1,37,16:00-19:00,38,30-40,30-40
365,0x869e ,4.8,37,19:00-22:00,26,30-40,20-30
366,0x7725 ,3.7,38,19:00-22:00,31,30-40,30-40
367,0xb6d2 ,4.7,28,10:00-13:00,28,20-30,20-30
368,0x6edb ,3.8,34,16:00-19:00,31,30-40,30-40
369,0xaab4 ,4.9,32,22:00-23:59,29,30-40,20-30
370,0xaabd ,4.7,22,22:00-23:59,17,20-30,10-20
371,0xc873 ,4.0,31,16:00-19:00,45,30-40,40-54
372,0x1494 ,4.0,27,19:00-22:00,34,20-30,30-40
373,0x1875 ,4.9,29,19:00-22:00,24,20-30,20-30
374,0x2af5 ,4.8,38,19:00-22:00,44,30-40,40-54
375,0x97b6 ,4.8,35,19:00-22:00,36,30-40,30-40
376,0xa56e ,4.9,31,19:00-22:00,28,30-40,20-30
377,0xaa3f ,4.3,30,16:00-19:00,37,30-40,30-40
378,0x6226 ,4.9,24,16:00-19:00,10,20-30,10-20
379,0x996b ,4.8,33,22:00-23:59,23,30-40,20-30
380,0xc595 ,4.6,29,22:00-23:59,22,20-30,20-30
381,0x6bfb ,4.6,38,10:00-13:00,26,30-40,20-30
382,0x7e1f ,4.9,26,19:00-22:00,34,20-30,30-40
383,0xb20d ,4.8,39,13:00-16:00,26,30-40,20-30
385,0x1db4 ,4.2,34,22:00-23:59,28,30-40,20-30
386,0x2258 ,4.7,26,22:00-23:59,14,20-30,10-20
387,0x1fd6 ,4.7,35,13:00-16:00,17,30-40,10-20
388,0x6de1 ,4.2,36,16:00-19:00,37,30-40,30-40
389,0x8b39 ,2.6,24,22:00-23:59,42,20-30,40-54
391,0x997b ,4.3,33,16:00-19:00,34,30-40,30-40
392,0xcdb6 ,4.6,26,16:00-19:00,25,20-30,20-30
393,0x5a7a ,5.0,32,19:00-22:00,30,30-40,30-40
394,0x6de3 ,4.9,37,19:00-22:00,48,30-40,40-54
395,0xe27a ,4.9,26,22:00-23:59,18,20-30,10-20
396,0xab52 ,4.8,31,22:00-23:59,28,30-40,20-30
397,0x4632 ,4.6,37,16:00-19:00,26,30-40,20-30
398,0x4b8a ,4.7,26,19:00-22:00,16,20-30,10-20
399,0x1623 ,4.8,37,19:00-22:00,25,30-40,20-30
400,0xaa66 ,4.6,22,19:00-22:00,22,20-30,20-30
401,0x7ea ,4.4,21,22:00-23:59,15,20-30,10-20
402,0x4dfa ,4.0,22,07:00-10:00,28,20-30,20-30
403,0xa667 ,4.5,38,10:00-13:00,20,30-40,20-30
404,0x6e9d ,4.0,28,13:00-16:00,32,20-30,30-40
405,0x5807 ,4.7,29,19:00-22:00,17,20-30,10-20
406,0x9a32 ,4.9,31,10:00-13:00,38,30-40,30-40
407,0x917d ,4.8,24,07:00-10:00,14,20-30,10-20
408,0x8673 ,4.8,33,13:00-16:00,26,30-40,20-30
409,0x4ac4 ,4.9,26,19:00-22:00,30,20-30,30-40
411,0x7bd7 ,4.7,20,19:00-22:00,29,20-30,20-30
412,0x9735 ,4.8,29,22:00-23:59,12,20-30,10-20
413,0x1a54 ,4.0,32,16:00-19:00,49,30-40,40-54
414,0x819d ,4.9,20,16:00-19:00,42,20-30,40-54
415,0x96f0 ,5.0,26,19:00-22:00,24,20-30,20-30
416,0x66f1 ,4.8,38,19:00-22:00,46,30-40,40-54
417,0xc6e9 ,4.6,34,13:00-16:00,27,30-40,20-30
418,0xb8aa ,4.5,27,07:00-10:00,13,20-30,10-20
419,0xc668 ,5.0,29,19:00-22:00,25,20-30,20-30
420,0x4c13 ,4.9,24,19:00-22:00,24,20-30,20-30
421,0x824a ,4.9,21,07:00-10:00,12,20-30,10-20
422,0xcb5b ,4.4,33,07:00-10:00,24,30-40,20-30
423,0x4cab ,4.7,35,19:00-22:00,29,30-40,20-30
424,0xafc4 ,4.7,35,22:00-23:59,18,30-40,10-20
427,0x1655 ,4.8,29,22:00-23:59,23,20-30,20-30
428,0x7573 ,4.9,21,22:00-23:59,19,20-30,10-20
429,0x9201 ,4.6,29,19:00-22:00,29,20-30,20-30
430,0xa940 ,4.7,22,19:00-22:00,24,20-30,20-30
432,0xd6ef ,4.4,24,19:00-22:00,40,20-30,40-54
433,0xb39b ,4.9,23,10:00-13:00,22,20-30,20-30
435,0x9873 ,4.1,33,16:00-19:00,43,30-40,40-54
436,0x29ab ,4.6,35,16:00-19:00,26,30-40,20-30
437,0x8198 ,4.7,21,16:00-19:00,27,20-30,20-30
438,0x7b24 ,4.4,39,22:00-23:59,35,30-40,30-40
439,0x92ec ,4.8,34,22:00-23:59,27,30-40,20-30
440,0x1aca ,4.9,29,10:00-13:00,27,20-30,20-30
441,0xa348 ,4.7,20,07:00-10:00,17,20-30,10-20
442,0xc733 ,4.8,20,22:00-23:59,17,20-30,10-20
443,0x14d0 ,4.7,30,22:00-23:59,15,30-40,10-20
444,0xd800 ,4.7,37,19:00-22:00,39,30-40,30-40
446,0x6d58 ,5.0,26,16:00-19:00,18,20-30,10-20
447,0xded5 ,4.9,32,16:00-19:00,48,30-40,40-54
448,0xa20a ,4.7,21,22:00-23:59,28,20-30,20-30
449,0x7c9e ,4.8,35,10:00-13:00,29,30-40,20-30
450,0x5ef3 ,4.6,39,16:00-19:00,32,30-40,30-40
451,0x80c2 ,5.0,39,22:00-23:59,41,30-40,40-54
452,0xd2b0 ,4.9,27,19:00-22:00,39,20-30,30-40
453,0x70ff ,4.8,33,16:00-19:00,16,30-40,10-20
454,0x548e ,4.8,33,19:00-22:00,48,30-40,40-54
455,0x26f1 ,4.7,37,16:00-19:00,40,30-40,40-54
456,0x4a1b ,4.6,20,07:00-10:00,11,20-30,10-20
457,0xbf6c ,4.6,20,22:00-23:59,19,20-30,10-20
458,0x5561 ,4.2,31,19:00-22:00,35,30-40,30-40
459,0xafd4 ,4.6,27,10:00-13:00,16,20-30,10-20
