,Road_traffic_density,Order_Date,Time_taken(min),time_periods,Order_Date_period
82,Medium,2022-03-27,39,16:00-19:00,2022-04-01 - 2022-04-10
83,Medium,2022-03-27,20,16:00-19:00,2022-04-01 - 2022-04-10
84,High,2022-03-24,31,10:00-13:00,2022-04-01 - 2022-04-10
85,Jam,2022-03-09,13,19:00-22:00,2022-03-10 - 2022-03-20
89,Low,2022-03-01,23,10:00-13:00,2022-03-01 - 2022-03-10
90,Jam,2022-03-23,39,19:00-22:00,2022-04-01 - 2022-04-10
93,Low,2022-03-11,15,07:00-10:00,2022-03-20 - 2022-03-31
94,Medium,2022-03-14,15,16:00-19:00,2022-03-20 - 2022-03-31
98,Low,2022-03-11,20,22:00-00:00,2022-03-20 - 2022-03-31
99,High,2022-03-13,39,10:00-13:00,2022-03-20 - 2022-03-31
100,Low,2022-03-04,19,22:00-00:00,2022-03-10 - 2022-03-20
101,Low,2022-03-26,19,22:00-00:00,2022-04-01 - 2022-04-10
102,Low,2022-03-16,17,22:00-00:00,2022-03-20 - 2022-03-31
103,Low,2022-03-01,15,10:00-13:00,2022-03-01 - 2022-03-10
104,Low,2022-03-15,19,07:00-10:00,2022-03-20 - 2022-03-31
105,Jam,2022-03-04,29,19:00-22:00,2022-03-10 - 2022-03-20
106,Low,2022-03-18,22,22:00-00:00,2022-03-20 - 2022-03-31
107,Jam,2022-03-23,42,19:00-22:00,2022-04-01 - 2022-04-10
108,Low,2022-03-15,12,10:00-13:00,2022-03-20 - 2022-03-31
109,Jam,2022-03-08,38,19:00-22:00,2022-03-10 - 2022-03-20
110,Low,2022-03-10,23,22:00-00:00,2022-03-10 - 2022-03-20
112,Low,2022-03-14,24,22:00-00:00,2022-03-20 - 2022-03-31
113,Jam,2022-03-16,37,19:00-22:00,2022-03-20 - 2022-03-31
114,Low,2022-03-01,24,22:00-00:00,2022-03-01 - 2022-03-10
115,Low,2022-03-01,13,22:00-00:00,2022-03-01 - 2022-03-10
117,Medium,2022-03-02,42,16:00-19:00,2022-03-10 - 2022-03-20
118,Low,2022-03-20,17,22:00-00:00,2022-03-20 - 2022-03-31
121,Medium,2022-03-29,39,16:00-19:00,2022-04-01 - 2022-04-10
122,High,2022-03-17,18,13:00-16:00,2022-03-20 - 2022-03-31
123,Medium,2022-03-17,28,16:00-19:00,2022-03-20 - 2022-03-31
125,Low,2022-03-18,18,00:00-04:00,2022-03-20 - 2022-03-31
126,Jam,2022-03-08,49,19:00-22:00,2022-03-10 - 2022-03-20
128,Low,2022-03-31,21,22:00-00:00,2022-04-01 - 2022-04-10
129,High,2022-03-01,23,13:00-16:00,2022-03-01 - 2022-03-10
131,Jam,2022-03-24,25,19:00-22:00,2022-04-01 - 2022-04-10
132,Low,2022-03-07,18,07:00-10:00,2022-03-10 - 2022-03-20
133,Low,2022-03-09,14,07:00-10:00,2022-03-10 - 2022-03-20
134,Medium,2022-03-12,36,16:00-19:00,2022-03-20 - 2022-03-31
136,Medium,2022-03-30,17,16:00-19:00,2022-04-01 - 2022-04-10
137,Low,2022-03-05,28,07:00-10:00,2022-03-10 - 2022-03-20
138,Jam,2022-03-18,44,19:00-22:00,2022-03-20 - 2022-03-31
139,Low,2022-03-13,20,22:00-00:00,2022-03-20 - 2022-03-31
141,Jam,2022-03-31,35,19:00-22:00,2022-04-01 - 2022-04-10
142,Jam,2022-03-23,50,19:00-22:00,2022-04-01 - 2022-04-10
143,Jam,2022-03-24,34,19:00-22:00,2022-04-01 - 2022-04-10
145,High,2022-03-03,23,13:00-16:00,2022-03-10 - 2022-03-20
146,Medium,2022-03-09,27,16:00-19:00,2022-03-10 - 2022-03-20
147,High,2022-03-17,26,10:00-13:00,2022-03-20 - 2022-03-31
148,Low,2022-03-18,35,22:00-00:00,2022-03-20 - 2022-03-31
149,High,2022-03-19,41,10:00-13:00,2022-03-20 - 2022-03-31
151,Medium,2022-03-04,30,16:00-19:00,2022-03-10 - 2022-03-20
153,Low,2022-03-11,27,07:00-10:00,2022-03-20 - 2022-03-31
155,Medium,2022-03-20,24,16:00-19:00,2022-03-20 - 2022-03-31
156,Jam,2022-03-31,36,19:00-22:00,2022-04-01 - 2022-04-10
158,Medium,2022-03-29,31,16:00-19:00,2022-04-01 - 2022-04-10
159,Jam,2022-03-16,44,19:00-22:00,2022-03-20 - 2022-03-31
160,Low,2022-03-14,15,22:00-00:00,2022-03-20 - 2022-03-31
161,Medium,2022-03-31,33,16:00-19:00,2022-04-01 - 2022-04-10
162,Jam,2022-03-17,30,19:00-22:00,2022-03-20 - 2022-03-31
163,Medium,2022-03-28,22,16:00-19:00,2022-04-01 - 2022-04-10
165,Medium,2022-03-04,48,16:00-19:00,2022-03-10 - 2022-03-20
166,Low,2022-03-04,19,22:00-00:00,2022-03-10 - 2022-03-20
168,Jam,2022-03-25,44,19:00-22:00,2022-04-01 - 2022-04-10
169,Low,2022-03-17,26,07:00-10:00,2022-03-20 - 2022-03-31
171,High,2022-03-19,31,10:00-13:00,2022-03-20 - 2022-03-31
172,Low,2022-03-07,19,22:00-00:00,2022-03-10 - 2022-03-20
173,Jam,2022-03-02,18,19:00-22:00,2022-03-10 - 2022-03-20
175,Medium,2022-03-29,32,16:00-19:00,2022-04-01 - 2022-04-10
176,Low,2022-03-07,17,22:00-00:00,2022-03-10 - 2022-03-20
177,Medium,2022-03-03,11,19:00-22:00,2022-03-10 - 2022-03-20
178,High,2022-03-30,31,13:00-16:00,2022-04-01 - 2022-04-10
180,Medium,2022-03-19,25,16:00-19:00,2022-03-20 - 2022-03-31
181,Jam,2022-03-15,22,19:00-22:00,2022-03-20 - 2022-03-31
182,Jam,2022-03-02,43,19:00-22:00,2022-03-10 - 2022-03-20
183,Jam,2022-03-31,42,19:00-22:00,2022-04-01 - 2022-04-10
184,Jam,2022-03-06,42,19:00-22:00,2022-03-10 - 2022-03-20
185,Jam,2022-03-21,34,19:00-22:00,2022-04-01 - 2022-04-10
186,Low,2022-03-01,17,07:00-10:00,2022-03-01 - 2022-03-10
187,Jam,2022-03-24,25,19:00-22:00,2022-04-01 - 2022-04-10
189,Low,2022-03-02,21,22:00-00:00,2022-03-10 - 2022-03-20
193,Low,2022-03-03,16,07:00-10:00,2022-03-10 - 2022-03-20
195,High,2022-03-17,26,10:00-13:00,2022-03-20 - 2022-03-31
196,Jam,2022-03-31,46,19:00-22:00,2022-04-01 - 2022-04-10
198,Jam,2022-03-09,23,19:00-22:00,2022-03-10 - 2022-03-20
200,Medium,2022-03-25,28,16:00-19:00,2022-04-01 - 2022-04-10
201,Jam,2022-03-11,25,19:00-22:00,2022-03-20 - 2022-03-31
202,Low,2022-03-03,11,10:00-13:00,2022-03-10 - 2022-03-20
204,Low,2022-03-07,23,10:00-13:00,2022-03-10 - 2022-03-20
205,Medium,2022-03-18,39,16:00-19:00,2022-03-20 - 2022-03-31
208,Medium,2022-03-06,43,16:00-19:00,2022-03-10 - 2022-03-20
210,Low,2022-03-21,25,07:00-10:00,2022-04-01 - 2022-04-10
211,Medium,2022-03-19,27,16:00-19:00,2022-03-20 - 2022-03-31
212,Medium,2022-03-28,29,13:00-16:00,2022-04-01 - 2022-04-10
213,Medium,2022-03-29,33,16:00-19:00,2022-04-01 - 2022-04-10
214,Medium,2022-03-17,19,16:00-19:00,2022-03-20 - 2022-03-31
215,Medium,2022-03-29,33,16:00-19:00,2022-04-01 - 2022-04-10
216,Jam,2022-03-21,28,19:00-22:00,2022-04-01 - 2022-04-10
219,Low,2022-03-29,18,22:00-00:00,2022-04-01 - 2022-04-10
223,Jam,2022-03-16,39,19:00-22:00,2022-03-20 - 2022-03-31
225,Medium,2022-03-20,36,16:00-19:00,2022-03-20 - 2022-03-31
227,Jam,2022-03-04,43,19:00-22:00,2022-03-10 - 2022-03-20
230,Medium,2022-03-09,15,16:00-19:00,2022-03-10 - 2022-03-20
232,Jam,2022-03-12,39,19:00-22:00,2022-03-20 - 2022-03-31
236,Low,2022-03-19,19,10:00-13:00,2022-03-20 - 2022-03-31
237,Low,2022-03-02,20,22:00-00:00,2022-03-10 - 2022-03-20
239,Jam,2022-03-27,43,19:00-22:00,2022-04-01 - 2022-04-10
240,Low,2022-03-04,15,22:00-00:00,2022-03-10 - 2022-03-20
242,High,2022-03-26,14,10:00-13:00,2022-04-01 - 2022-04-10
245,Low,2022-03-18,29,22:00-00:00,2022-03-20 - 2022-03-31
247,High,2022-03-28,14,10:00-13:00,2022-04-01 - 2022-04-10
249,Low,2022-03-16,16,22:00-00:00,2022-03-20 - 2022-03-31
251,Low,2022-03-28,20,10:00-13:00,2022-04-01 - 2022-04-10
252,Low,2022-03-03,26,22:00-00:00,2022-03-10 - 2022-03-20
253,Medium,2022-03-13,26,16:00-19:00,2022-03-20 - 2022-03-31
254,Jam,2022-03-14,43,19:00-22:00,2022-03-20 - 2022-03-31
255,Medium,2022-03-01,25,16:00-19:00,2022-03-01 - 2022-03-10
256,Medium,2022-03-21,28,13:00-16:00,2022-04-01 - 2022-04-10
257,Low,2022-03-10,17,22:00-00:00,2022-03-10 - 2022-03-20
258,Jam,2022-03-20,44,19:00-22:00,2022-03-20 - 2022-03-31
269,Low,2022-03-02,29,22:00-00:00,2022-03-10 - 2022-03-20
271,Medium,2022-03-09,30,16:00-19:00,2022-03-10 - 2022-03-20
272,Jam,2022-03-12,28,19:00-22:00,2022-03-20 - 2022-03-31
275,Jam,2022-03-23,50,19:00-22:00,2022-04-01 - 2022-04-10
276,High,2022-03-05,41,10:00-13:00,2022-03-10 - 2022-03-20
277,Medium,2022-03-27,37,16:00-19:00,2022-04-01 - 2022-04-10
278,Jam,2022-03-19,28,19:00-22:00,2022-03-20 - 2022-03-31
280,Jam,2022-03-02,27,19:00-22:00,2022-03-10 - 2022-03-20
281,Jam,2022-03-02,43,19:00-22:00,2022-03-10 - 2022-03-20
285,Jam,2022-03-20,47,19:00-22:00,2022-03-20 - 2022-03-31
286,Low,2022-03-11,26,22:00-00:00,2022-03-20 - 2022-03-31
293,Medium,2022-03-26,18,16:00-19:00,2022-04-01 - 2022-04-10
294,Jam,2022-03-29,22,19:00-22:00,2022-04-01 - 2022-04-10
295,Low,2022-03-01,23,07:00-10:00,2022-03-01 - 2022-03-10
296,Medium,2022-03-18,48,16:00-19:00,2022-03-20 - 2022-03-31
297,Low,2022-03-31,13,22:00-00:00,2022-04-01 - 2022-04-10
298,High,2022-03-30,32,10:00-13:00,2022-04-01 - 2022-04-10
299,Jam,2022-03-06,16,19:00-22:00,2022-03-10 - 2022-03-20
300,Medium,2022-03-05,19,16:00-19:00,2022-03-10 - 2022-03-20
301,Low,2022-03-26,18,07:00-10:00,2022-04-01 - 2022-04-10
303,Medium,2022-03-12,25,16:00-19:00,2022-03-20 - 2022-03-31
304,Medium,2022-03-01,31,16:00-19:00,2022-03-01 - 2022-03-10
306,Medium,2022-03-16,20,16:00-19:00,2022-03-20 - 2022-03-31
307,Jam,2022-03-29,38,19:00-22:00,2022-04-01 - 2022-04-10
308,Low,2022-03-05,19,22:00-00:00,2022-03-10 - 2022-03-20
310,Low,2022-03-13,24,10:00-13:00,2022-03-20 - 2022-03-31
311,High,2022-03-13,26,10:00-13:00,2022-03-20 - 2022-03-31
313,Medium,2022-03-23,16,16:00-19:00,2022-04-01 - 2022-04-10
314,Medium,2022-03-01,17,16:00-19:00,2022-03-01 - 2022-03-10
315,Low,2022-03-13,24,22:00-00:00,2022-03-20 - 2022-03-31
317,High,2022-03-15,34,10:00-13:00,2022-03-20 - 2022-03-31
318,Low,2022-03-09,16,07:00-10:00,2022-03-10 - 2022-03-20
321,Medium,2022-03-10,49,16:00-19:00,2022-03-10 - 2022-03-20
322,Medium,2022-03-23,24,16:00-19:00,2022-04-01 - 2022-04-10
323,High,2022-03-13,32,10:00-13:00,2022-03-20 - 2022-03-31
324,Medium,2022-03-07,26,19:00-22:00,2022-03-10 - 2022-03-20
325,Low,2022-03-18,24,22:00-00:00,2022-03-20 - 2022-03-31
326,Jam,2022-03-31,16,19:00-22:00,2022-04-01 - 2022-04-10
329,Low,2022-03-26,26,07:00-10:00,2022-04-01 - 2022-04-10
330,Jam,2022-03-28,25,19:00-22:00,2022-04-01 - 2022-04-10
332,Low,2022-03-15,15,07:00-10:00,2022-03-20 - 2022-03-31
333,Low,2022-03-17,18,10:00-13:00,2022-03-20 - 2022-03-31
334,Jam,2022-03-09,30,19:00-22:00,2022-03-10 - 2022-03-20
336,Low,2022-03-29,24,22:00-00:00,2022-04-01 - 2022-04-10
337,Medium,2022-03-05,37,16:00-19:00,2022-03-10 - 2022-03-20
338,Jam,2022-03-29,27,19:00-22:00,2022-04-01 - 2022-04-10
340,Medium,2022-03-05,32,16:00-19:00,2022-03-10 - 2022-03-20
341,High,2022-03-13,28,10:00-13:00,2022-03-20 - 2022-03-31
342,Jam,2022-03-03,29,19:00-22:00,2022-03-10 - 2022-03-20
343,Low,2022-03-03,27,10:00-13:00,2022-03-10 - 2022-03-20
344,Low,2022-03-24,11,07:00-10:00,2022-04-01 - 2022-04-10
345,Medium,2022-03-15,13,16:00-19:00,2022-03-20 - 2022-03-31
346,Low,2022-03-12,27,22:00-00:00,2022-03-20 - 2022-03-31
347,High,2022-03-13,25,10:00-13:00,2022-03-20 - 2022-03-31
350,Low,2022-03-02,26,22:00-00:00,2022-03-10 - 2022-03-20
351,Medium,2022-03-08,32,16:00-19:00,2022-03-10 - 2022-03-20
352,Low,2022-03-21,25,10:00-13:00,2022-04-01 - 2022-04-10
353,Jam,2022-03-24,32,19:00-22:00,2022-04-01 - 2022-04-10
355,Jam,2022-03-11,29,19:00-22:00,2022-03-20 - 2022-03-31
356,Jam,2022-03-10,32,19:00-22:00,2022-03-10 - 2022-03-20
357,Low,2022-03-12,35,22:00-00:00,2022-03-20 - 2022-03-31
358,High,2022-03-19,27,13:00-16:00,2022-03-20 - 2022-03-31
360,Jam,2022-03-09,27,19:00-22:00,2022-03-10 - 2022-03-20
362,Medium,2022-03-27,32,16:00-19:00,2022-04-01 - 2022-04-10
363,Low,2022-03-21,25,10:00-13:00,2022-04-01 - 2022-04-10
364,Medium,2022-03-15,38,16:00-19:00,2022-03-20 - 2022-03-31
365,Jam,2022-03-26,26,19:00-22:00,2022-04-01 - 2022-04-10
366,Jam,2022-03-25,31,19:00-22:00,2022-04-01 - 2022-04-10
367,High,2022-03-01,28,10:00-13:00,2022-03-01 - 2022-03-10
368,Medium,2022-03-10,31,16:00-19:00,2022-03-10 - 2022-03-20
369,Low,2022-03-27,29,22:00-00:00,2022-04-01 - 2022-04-10
370,Low,2022-03-11,17,22:00-00:00,2022-03-20 - 2022-03-31
372,Medium,2022-03-29,34,19:00-22:00,2022-04-01 - 2022-04-10
373,Jam,2022-03-20,24,19:00-22:00,2022-03-20 - 2022-03-31
374,Jam,2022-03-28,44,19:00-22:00,2022-04-01 - 2022-04-10
377,Medium,2022-03-06,37,16:00-19:00,2022-03-10 - 2022-03-20
379,Low,2022-03-10,23,22:00-00:00,2022-03-10 - 2022-03-20
381,High,2022-03-17,26,10:00-13:00,2022-03-20 - 2022-03-31
382,Jam,2022-03-13,34,19:00-22:00,2022-03-20 - 2022-03-31
383,Medium,2022-03-17,26,13:00-16:00,2022-03-20 - 2022-03-31
385,Low,2022-03-21,28,22:00-00:00,2022-04-01 - 2022-04-10
386,Low,2022-03-09,14,22:00-00:00,2022-03-10 - 2022-03-20
387,Medium,2022-03-03,17,13:00-16:00,2022-03-10 - 2022-03-20
393,Jam,2022-03-04,30,19:00-22:00,2022-03-10 - 2022-03-20
394,Jam,2022-03-20,48,19:00-22:00,2022-03-20 - 2022-03-31
396,Low,2022-03-27,28,22:00-00:00,2022-04-01 - 2022-04-10
397,Medium,2022-03-10,26,16:00-19:00,2022-03-10 - 2022-03-20
398,Jam,2022-03-06,16,19:00-22:00,2022-03-10 - 2022-03-20
399,Jam,2022-03-07,25,19:00-22:00,2022-03-10 - 2022-03-20
402,Low,2022-03-13,28,07:00-10:00,2022-03-20 - 2022-03-31
403,Low,2022-03-28,20,10:00-13:00,2022-04-01 - 2022-04-10
404,High,2022-03-15,32,13:00-16:00,2022-03-20 - 2022-03-31
406,High,2022-03-28,38,10:00-13:00,2022-04-01 - 2022-04-10
407,Low,2022-03-01,14,07:00-10:00,2022-03-01 - 2022-03-10
408,Medium,2022-03-13,26,13:00-16:00,2022-03-20 - 2022-03-31
411,Jam,2022-03-15,29,19:00-22:00,2022-03-20 - 2022-03-31
413,Medium,2022-03-23,49,16:00-19:00,2022-04-01 - 2022-04-10
414,Medium,2022-03-25,42,16:00-19:00,2022-04-01 - 2022-04-10
415,Medium,2022-03-27,24,19:00-22:00,2022-04-01 - 2022-04-10
416,Jam,2022-03-25,46,19:00-22:00,2022-04-01 - 2022-04-10
421,Low,2022-03-05,12,07:00-10:00,2022-03-10 - 2022-03-20
423,Jam,2022-03-01,29,19:00-22:00,2022-03-01 - 2022-03-10
424,Low,2022-03-31,18,22:00-00:00,2022-04-01 - 2022-04-10
428,Low,2022-03-23,19,22:00-00:00,2022-04-01 - 2022-04-10
430,Jam,2022-03-20,24,19:00-22:00,2022-03-20 - 2022-03-31
433,High,2022-03-11,22,10:00-13:00,2022-03-20 - 2022-03-31
435,Medium,2022-03-10,43,16:00-19:00,2022-03-10 - 2022-03-20
436,Medium,2022-03-02,26,16:00-19:00,2022-03-10 - 2022-03-20
437,Medium,2022-03-24,27,16:00-19:00,2022-04-01 - 2022-04-10
438,Low,2022-03-23,35,22:00-00:00,2022-04-01 - 2022-04-10
439,Low,2022-03-26,27,22:00-00:00,2022-04-01 - 2022-04-10
440,High,2022-03-15,27,10:00-13:00,2022-03-20 - 2022-03-31
441,Low,2022-03-19,17,07:00-10:00,2022-03-20 - 2022-03-31
443,Low,2022-03-24,15,22:00-00:00,2022-04-01 - 2022-04-10
448,Low,2022-03-10,28,22:00-00:00,2022-03-10 - 2022-03-20
449,Low,2022-03-13,29,10:00-13:00,2022-03-20 - 2022-03-31
450,Medium,2022-03-11,32,16:00-19:00,2022-03-20 - 2022-03-31
451,Low,2022-03-02,41,22:00-00:00,2022-03-10 - 2022-03-20
453,Medium,2022-03-07,16,16:00-19:00,2022-03-10 - 2022-03-20
454,Jam,2022-03-10,48,19:00-22:00,2022-03-10 - 2022-03-20
456,Low,2022-03-03,11,07:00-10:00,2022-03-10 - 2022-03-20
458,Jam,2022-03-10,35,19:00-22:00,2022-03-10 - 2022-03-20
459,High,2022-03-07,16,10:00-13:00,2022-03-10 - 2022-03-20
460,Medium,2022-03-09,15,16:00-19:00,2022-03-10 - 2022-03-20
461,Jam,2022-03-05,31,19:00-22:00,2022-03-10 - 2022-03-20
462,Low,2022-03-17,11,22:00-00:00,2022-03-20 - 2022-03-31
465,High,2022-03-05,24,13:00-16:00,2022-03-10 - 2022-03-20
466,Low,2022-03-11,16,10:00-13:00,2022-03-20 - 2022-03-31
469,Jam,2022-03-14,31,19:00-22:00,2022-03-20 - 2022-03-31
470,Low,2022-03-30,33,10:00-13:00,2022-04-01 - 2022-04-10
471,Low,2022-03-17,16,22:00-00:00,2022-03-20 - 2022-03-31
475,Medium,2022-03-14,26,16:00-19:00,2022-03-20 - 2022-03-31
477,Medium,2022-03-31,32,16:00-19:00,2022-04-01 - 2022-04-10
478,Jam,2022-03-20,22,19:00-22:00,2022-03-20 - 2022-03-31
479,Jam,2022-03-12,50,19:00-22:00,2022-03-20 - 2022-03-31
484,Medium,2022-03-31,37,16:00-19:00,2022-04-01 - 2022-04-10
486,Jam,2022-03-27,34,19:00-22:00,2022-04-01 - 2022-04-10
487,Low,2022-03-08,14,22:00-00:00,2022-03-10 - 2022-03-20
489,Jam,2022-03-21,30,19:00-22:00,2022-04-01 - 2022-04-10
492,Medium,2022-03-31,37,19:00-22:00,2022-04-01 - 2022-04-10
493,Jam,2022-03-16,23,19:00-22:00,2022-03-20 - 2022-03-31
494,Jam,2022-03-05,30,19:00-22:00,2022-03-10 - 2022-03-20
495,Jam,2022-03-12,29,19:00-22:00,2022-03-20 - 2022-03-31
496,Low,2022-03-26,14,07:00-10:00,2022-04-01 - 2022-04-10
497,Low,2022-03-24,28,22:00-00:00,2022-04-01 - 2022-04-10
500,Low,2022-03-27,16,22:00-00:00,2022-04-01 - 2022-04-10
502,Medium,2022-03-04,44,16:00-19:00,2022-03-10 - 2022-03-20
503,Medium,2022-03-30,22,16:00-19:00,2022-04-01 - 2022-04-10
506,Low,2022-03-11,16,10:00-13:00,2022-03-20 - 2022-03-31
511,Jam,2022-03-12,44,19:00-22:00,2022-03-20 - 2022-03-31
512,Medium,2022-03-28,17,19:00-22:00,2022-04-01 - 2022-04-10
513,Jam,2022-03-14,43,19:00-22:00,2022-03-20 - 2022-03-31
514,Low,2022-03-31,41,22:00-00:00,2022-04-01 - 2022-04-10
515,Medium,2022-03-16,34,16:00-19:00,2022-03-20 - 2022-03-31
516,Jam,2022-03-18,40,19:00-22:00,2022-03-20 - 2022-03-31
517,Low,2022-03-05,16,07:00-10:00,2022-03-10 - 2022-03-20
519,High,2022-03-13,13,10:00-13:00,2022-03-20 - 2022-03-31
520,Medium,2022-03-21,29,16:00-19:00,2022-04-01 - 2022-04-10
521,High,2022-03-03,24,10:00-13:00,2022-03-10 - 2022-03-20
522,Medium,2022-03-30,16,16:00-19:00,2022-04-01 - 2022-04-10
523,Jam,2022-03-24,34,19:00-22:00,2022-04-01 - 2022-04-10
524,Jam,2022-03-25,20,19:00-22:00,2022-04-01 - 2022-04-10
525,High,2022-03-30,28,13:00-16:00,2022-04-01 - 2022-04-10
526,Medium,2022-03-29,30,16:00-19:00,2022-04-01 - 2022-04-10
528,High,2022-03-21,30,13:00-16:00,2022-04-01 - 2022-04-10
530,Low,2022-03-18,28,22:00-00:00,2022-03-20 - 2022-03-31
531,Low,2022-03-15,17,22:00-00:00,2022-03-20 - 2022-03-31
532,Jam,2022-03-20,33,19:00-22:00,2022-03-20 - 2022-03-31
533,Medium,2022-03-18,36,16:00-19:00,2022-03-20 - 2022-03-31
536,Jam,2022-03-11,25,19:00-22:00,2022-03-20 - 2022-03-31
538,Low,2022-03-16,32,22:00-00:00,2022-03-20 - 2022-03-31
540,Low,2022-03-05,27,22:00-00:00,2022-03-10 - 2022-03-20
542,Low,2022-03-17,24,22:00-00:00,2022-03-20 - 2022-03-31
543,Jam,2022-03-18,30,19:00-22:00,2022-03-20 - 2022-03-31
546,Low,2022-03-02,16,22:00-00:00,2022-03-10 - 2022-03-20
547,Jam,2022-03-26,25,19:00-22:00,2022-04-01 - 2022-04-10
548,Low,2022-03-07,16,10:00-13:00,2022-03-10 - 2022-03-20
549,Jam,2022-03-30,32,19:00-22:00,2022-04-01 - 2022-04-10
552,Low,2022-03-11,21,22:00-00:00,2022-03-20 - 2022-03-31
555,Jam,2022-03-28,11,19:00-22:00,2022-04-01 - 2022-04-10
557,Low,2022-03-12,12,22:00-00:00,2022-03-20 - 2022-03-31
558,Jam,2022-03-29,39,19:00-22:00,2022-04-01 - 2022-04-10
559,High,2022-03-15,16,13:00-16:00,2022-03-20 - 2022-03-31
560,Low,2022-03-19,17,22:00-00:00,2022-03-20 - 2022-03-31
561,Medium,2022-03-14,24,16:00-19:00,2022-03-20 - 2022-03-31
562,High,2022-03-30,33,10:00-13:00,2022-04-01 - 2022-04-10
563,Medium,2022-03-29,29,16:00-19:00,2022-04-01 - 2022-04-10
565,Low,2022-03-09,28,22:00-00:00,2022-03-10 - 2022-03-20
566,Jam,2022-03-09,25,19:00-22:00,2022-03-10 - 2022-03-20
568,Low,2022-03-23,11,22:00-00:00,2022-04-01 - 2022-04-10
