Festival,Order_Date,Time_taken(min),time_periods,Road_traffic_density,Order_Date_period
No ,2022-03-12,37,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-29,44,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-19,28,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-10,42,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-16,25,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-27,39,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-27,20,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-24,31,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-03-09,13,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-15,19,10:00-13:00,High,2022-02-10 - 2022-02-20
Yes ,2022-02-18,42,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-01,23,10:00-13:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-23,39,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-04-01,25,10:00-13:00,Low,2022-04-01 - 2022-04-10
No ,2022-02-16,15,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-11,15,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-14,15,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-04-01,18,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-04-04,29,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-03-11,20,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-13,39,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-04,19,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-26,19,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-16,17,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-01,15,10:00-13:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-15,19,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-04,29,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-18,22,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-23,42,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-15,12,10:00-13:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-08,38,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-10,23,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-02-11,15,10:00-13:00,Low,2022-02-10 - 2022-02-20
No ,2022-03-14,24,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-16,37,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-01,24,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-01,13,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-02,42,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-20,17,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-04-03,25,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-29,39,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-17,18,13:00-16:00,High,2022-03-10 - 2022-03-20
No ,2022-03-17,28,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-02-15,18,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-18,18,00:00-04:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-08,49,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-31,21,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-01,23,13:00-16:00,High,2022-03-01 - 2022-03-10
No ,2022-04-03,11,10:00-13:00,Low,2022-04-01 - 2022-04-10
No ,2022-03-24,25,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-07,18,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-09,14,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-12,36,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-30,17,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-05,28,07:00-10:00,Low,2022-03-01 - 2022-03-10
Yes ,2022-03-18,44,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-13,20,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-31,35,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-23,50,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-24,34,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-03,23,13:00-16:00,High,2022-03-01 - 2022-03-10
No ,2022-03-09,27,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-17,26,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-18,35,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-19,41,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-04,30,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-04-03,19,10:00-13:00,Low,2022-04-01 - 2022-04-10
No ,2022-03-11,27,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-04-01,28,10:00-13:00,High,2022-04-01 - 2022-04-10
No ,2022-03-20,24,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-31,36,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-02-13,28,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-29,31,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-16,44,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-14,15,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-31,33,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-17,30,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-28,22,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-04-04,43,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-03-04,48,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-04,19,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-02-14,21,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-25,44,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-17,26,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-04-01,26,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-03-19,31,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-07,19,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-02,18,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-16,38,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-29,32,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-07,17,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-03,11,19:00-22:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-30,31,13:00-16:00,High,2022-03-20 - 2022-03-31
No ,2022-03-19,25,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-15,22,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-02,43,19:00-22:00,Jam,2022-03-01 - 2022-03-10
Yes ,2022-03-31,42,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-06,42,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-21,34,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-01,17,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-24,25,19:00-22:00,Jam,2022-03-20 - 2022-03-31
Yes ,2022-04-04,54,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-02,21,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-02-12,36,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-04-05,17,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-03,16,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-04-06,27,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-17,26,10:00-13:00,High,2022-03-10 - 2022-03-20
Yes ,2022-03-31,46,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-02-17,29,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-09,23,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-25,28,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-11,25,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-03,11,10:00-13:00,Low,2022-03-01 - 2022-03-10
No ,2022-02-15,26,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-07,23,10:00-13:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-18,39,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-06,43,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-21,25,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-19,27,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-28,29,13:00-16:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-29,33,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-17,19,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-29,33,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-21,28,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-02-15,29,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-29,18,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-02-13,14,10:00-13:00,Low,2022-02-10 - 2022-02-20
No ,2022-04-03,30,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-02-13,28,13:00-16:00,High,2022-02-10 - 2022-02-20
No ,2022-03-16,39,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-04-02,30,19:00-22:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-20,36,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-04,43,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-11,25,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-09,15,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-12,39,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-04-04,20,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-02-11,15,10:00-13:00,Low,2022-02-10 - 2022-02-20
No ,2022-02-18,16,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-19,19,10:00-13:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-02,20,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-02-14,25,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-27,43,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-04,15,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-04-06,29,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-26,14,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-02-11,11,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-18,29,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-02-11,11,13:00-16:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-28,14,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-02-16,15,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-16,16,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-28,20,10:00-13:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-03,26,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-13,26,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-14,43,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-01,25,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-21,28,13:00-16:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-10,17,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-20,44,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-04-06,33,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-04-03,15,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-02-12,27,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-02-11,25,10:00-13:00,High,2022-02-10 - 2022-02-20
No ,2022-04-05,18,13:00-16:00,High,2022-04-01 - 2022-04-10
No ,2022-04-05,21,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-02-18,53,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-02-12,42,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-02-14,20,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-02,29,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-04-04,15,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-09,30,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-12,28,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-02-18,15,22:00-23:59,Low,2022-02-10 - 2022-02-20
Yes ,2022-03-23,50,19:00-22:00,Jam,2022-03-20 - 2022-03-31
Yes ,2022-03-05,41,10:00-13:00,High,2022-03-01 - 2022-03-10
No ,2022-03-27,37,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-19,28,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-02-16,35,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-02,27,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-02,43,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-13,31,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-02-14,39,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-20,47,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-11,26,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-02-18,31,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-04-04,42,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-02-18,39,22:00-23:59,Jam,2022-02-10 - 2022-02-20
No ,2022-03-26,18,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-29,22,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-01,23,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-18,48,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-31,13,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-30,32,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-03-06,16,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-05,19,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-26,18,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-02-16,27,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-12,25,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-01,31,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-16,20,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-29,38,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-05,19,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-02-17,17,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-13,24,10:00-13:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-13,26,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-04-03,28,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-23,16,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-01,17,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-13,24,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-15,34,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-09,16,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-04-05,26,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-04-02,25,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-10,49,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-23,24,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-13,32,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-07,26,19:00-22:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-18,24,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-31,16,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-04-04,27,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-02-17,25,10:00-13:00,High,2022-02-10 - 2022-02-20
No ,2022-03-26,26,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-28,25,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-15,15,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-17,18,10:00-13:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-09,30,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-04-02,46,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-29,24,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-05,37,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-29,27,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-05,32,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-13,28,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-03,29,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-03,27,10:00-13:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-24,11,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-15,13,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-12,27,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-13,25,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-04-05,27,10:00-13:00,High,2022-04-01 - 2022-04-10
No ,2022-03-02,26,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-08,32,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-21,25,10:00-13:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-24,32,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-11,29,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-10,32,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-12,35,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-19,27,13:00-16:00,High,2022-03-10 - 2022-03-20
No ,2022-02-15,15,07:00-10:00,Low,2022-02-10 - 2022-02-20
No ,2022-03-09,27,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-13,30,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-27,32,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-21,25,10:00-13:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-15,38,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-26,26,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-25,31,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-01,28,10:00-13:00,High,2022-03-01 - 2022-03-10
No ,2022-03-10,31,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-27,29,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-11,17,22:00-23:59,Low,2022-03-10 - 2022-03-20
Yes ,2022-02-14,45,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-29,34,19:00-22:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-20,24,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-28,44,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-04-01,36,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-04-03,28,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-06,37,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-04-03,10,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-10,23,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-02-18,22,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-17,26,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-13,34,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-17,26,13:00-16:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-21,28,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-09,14,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-03,17,13:00-16:00,Medium,2022-03-01 - 2022-03-10
No ,2022-04-01,37,16:00-19:00,Medium,2022-04-01 - 2022-04-10
Yes ,2022-04-06,42,22:00-23:59,Low,2022-04-01 - 2022-04-10
