,Road_traffic_density,Order_Date,Time_taken(min),time_periods,Order_Date_period
327,Jam,2022-04-04,27,19:00-22:00,2022-04-20 - 2022-04-30
335,Jam,2022-04-02,46,19:00-22:00,2022-04-20 - 2022-04-30
349,High,2022-04-05,27,10:00-13:00,2022-04-20 - 2022-04-30
375,Jam,2022-04-01,36,19:00-22:00,2022-04-10 - 2022-04-20
376,Jam,2022-04-03,28,19:00-22:00,2022-04-20 - 2022-04-30
378,Medium,2022-04-03,10,16:00-19:00,2022-04-20 - 2022-04-30
388,Medium,2022-04-01,37,16:00-19:00,2022-04-10 - 2022-04-20
389,Low,2022-04-06,42,22:00-00:00,2022-04-20 - 2022-04-30
391,Medium,2022-04-02,34,16:00-19:00,2022-04-20 - 2022-04-30
400,Jam,2022-04-04,22,19:00-22:00,2022-04-20 - 2022-04-30
401,Low,2022-04-03,15,22:00-00:00,2022-04-20 - 2022-04-30
405,Jam,2022-04-04,17,19:00-22:00,2022-04-20 - 2022-04-30
409,Jam,2022-04-02,30,19:00-22:00,2022-04-20 - 2022-04-30
412,Low,2022-04-06,12,22:00-00:00,2022-04-20 - 2022-04-30
418,Low,2022-04-03,13,07:00-10:00,2022-04-20 - 2022-04-30
420,Jam,2022-04-04,24,19:00-22:00,2022-04-20 - 2022-04-30
427,Low,2022-04-06,23,22:00-00:00,2022-04-20 - 2022-04-30
429,Jam,2022-04-04,29,19:00-22:00,2022-04-20 - 2022-04-30
446,Medium,2022-04-04,18,16:00-19:00,2022-04-20 - 2022-04-30
455,Medium,2022-04-06,40,16:00-19:00,2022-04-20 - 2022-04-30
472,Low,2022-04-06,16,22:00-00:00,2022-04-20 - 2022-04-30
474,Low,2022-04-05,18,07:00-10:00,2022-04-20 - 2022-04-30
482,High,2022-04-05,19,13:00-16:00,2022-04-20 - 2022-04-30
505,Low,2022-04-05,18,07:00-10:00,2022-04-20 - 2022-04-30
508,Jam,2022-04-06,46,19:00-22:00,2022-04-20 - 2022-04-30
509,Medium,2022-04-06,26,16:00-19:00,2022-04-20 - 2022-04-30
510,Medium,2022-04-02,17,16:00-19:00,2022-04-20 - 2022-04-30
527,Low,2022-04-06,14,22:00-00:00,2022-04-20 - 2022-04-30
537,Jam,2022-04-06,40,19:00-22:00,2022-04-20 - 2022-04-30
539,Jam,2022-04-06,42,19:00-22:00,2022-04-20 - 2022-04-30
545,High,2022-04-01,31,10:00-13:00,2022-04-10 - 2022-04-20
550,Medium,2022-04-01,20,16:00-19:00,2022-04-10 - 2022-04-20
551,Low,2022-04-03,11,07:00-10:00,2022-04-20 - 2022-04-30
553,Jam,2022-04-06,44,19:00-22:00,2022-04-20 - 2022-04-30
556,Low,2022-04-06,23,22:00-00:00,2022-04-20 - 2022-04-30
576,Jam,2022-04-06,39,19:00-22:00,2022-04-20 - 2022-04-30
578,Jam,2022-04-04,11,19:00-22:00,2022-04-20 - 2022-04-30
591,High,2022-04-03,12,13:00-16:00,2022-04-20 - 2022-04-30
594,Jam,2022-04-02,13,19:00-22:00,2022-04-20 - 2022-04-30
607,Low,2022-04-04,34,22:00-00:00,2022-04-20 - 2022-04-30
613,Jam,2022-04-01,32,19:00-22:00,2022-04-10 - 2022-04-20
621,Medium,2022-04-04,26,16:00-19:00,2022-04-20 - 2022-04-30
622,Jam,2022-04-03,28,19:00-22:00,2022-04-20 - 2022-04-30
626,Low,2022-04-02,35,22:00-00:00,2022-04-20 - 2022-04-30
638,Low,2022-04-04,25,22:00-00:00,2022-04-20 - 2022-04-30
645,Jam,2022-04-04,43,19:00-22:00,2022-04-20 - 2022-04-30
646,Jam,2022-04-05,19,19:00-22:00,2022-04-20 - 2022-04-30
660,Low,2022-04-01,12,10:00-13:00,2022-04-10 - 2022-04-20
681,Jam,2022-04-06,26,19:00-22:00,2022-04-20 - 2022-04-30
686,Jam,2022-04-06,35,19:00-22:00,2022-04-20 - 2022-04-30
697,Medium,2022-04-06,27,16:00-19:00,2022-04-20 - 2022-04-30
707,Low,2022-04-03,18,07:00-10:00,2022-04-20 - 2022-04-30
714,Medium,2022-04-05,22,13:00-16:00,2022-04-20 - 2022-04-30
716,Jam,2022-04-06,37,22:00-00:00,2022-04-20 - 2022-04-30
726,Jam,2022-04-06,15,19:00-22:00,2022-04-20 - 2022-04-30
742,Medium,2022-04-03,36,16:00-19:00,2022-04-20 - 2022-04-30
743,Low,2022-04-05,29,07:00-10:00,2022-04-20 - 2022-04-30
747,Low,2022-04-03,18,07:00-10:00,2022-04-20 - 2022-04-30
753,Low,2022-04-01,22,22:00-00:00,2022-04-10 - 2022-04-20
764,Medium,2022-04-01,23,16:00-19:00,2022-04-10 - 2022-04-20
765,Low,2022-04-05,29,07:00-10:00,2022-04-20 - 2022-04-30
790,Low,2022-04-05,11,10:00-13:00,2022-04-20 - 2022-04-30
809,High,2022-04-01,20,10:00-13:00,2022-04-10 - 2022-04-20
820,Jam,2022-04-01,28,19:00-22:00,2022-04-10 - 2022-04-20
829,Medium,2022-04-04,23,16:00-19:00,2022-04-20 - 2022-04-30
830,Medium,2022-04-01,33,16:00-19:00,2022-04-10 - 2022-04-20
835,Jam,2022-04-05,33,19:00-22:00,2022-04-20 - 2022-04-30
837,Low,2022-04-05,29,07:00-10:00,2022-04-20 - 2022-04-30
840,Jam,2022-04-06,34,19:00-22:00,2022-04-20 - 2022-04-30
845,High,2022-04-01,37,13:00-16:00,2022-04-10 - 2022-04-20
846,Medium,2022-04-06,23,16:00-19:00,2022-04-20 - 2022-04-30
853,Low,2022-04-06,17,22:00-00:00,2022-04-20 - 2022-04-30
865,Medium,2022-04-02,29,16:00-19:00,2022-04-20 - 2022-04-30
867,Low,2022-04-05,17,07:00-10:00,2022-04-20 - 2022-04-30
878,Jam,2022-04-04,24,19:00-22:00,2022-04-20 - 2022-04-30
879,Medium,2022-04-02,15,16:00-19:00,2022-04-20 - 2022-04-30
880,Low,2022-04-03,12,10:00-13:00,2022-04-20 - 2022-04-30
885,Low,2022-04-01,15,22:00-00:00,2022-04-10 - 2022-04-20
905,Jam,2022-04-02,39,19:00-22:00,2022-04-20 - 2022-04-30
914,Jam,2022-04-06,28,19:00-22:00,2022-04-20 - 2022-04-30
923,Low,2022-04-01,16,07:00-10:00,2022-04-10 - 2022-04-20
935,Low,2022-04-05,19,22:00-00:00,2022-04-20 - 2022-04-30
955,Jam,2022-04-03,30,19:00-22:00,2022-04-20 - 2022-04-30
974,Low,2022-04-03,19,10:00-13:00,2022-04-20 - 2022-04-30
1007,Medium,2022-04-01,11,16:00-19:00,2022-04-10 - 2022-04-20
1010,Medium,2022-04-05,15,16:00-19:00,2022-04-20 - 2022-04-30
1017,Jam,2022-04-04,25,19:00-22:00,2022-04-20 - 2022-04-30
1028,Medium,2022-04-03,17,16:00-19:00,2022-04-20 - 2022-04-30
1034,High,2022-04-01,21,13:00-16:00,2022-04-10 - 2022-04-20
1036,Low,2022-04-03,22,22:00-00:00,2022-04-20 - 2022-04-30
1047,Low,2022-04-03,24,00:00-04:00,2022-04-20 - 2022-04-30
1056,Jam,2022-04-03,28,19:00-22:00,2022-04-20 - 2022-04-30
1060,Medium,2022-04-01,29,13:00-16:00,2022-04-10 - 2022-04-20
1061,Low,2022-04-06,22,22:00-00:00,2022-04-20 - 2022-04-30
1067,High,2022-04-05,29,13:00-16:00,2022-04-20 - 2022-04-30
1069,Low,2022-04-05,17,22:00-00:00,2022-04-20 - 2022-04-30
1084,Medium,2022-04-03,26,16:00-19:00,2022-04-20 - 2022-04-30
1090,Low,2022-04-03,10,07:00-10:00,2022-04-20 - 2022-04-30
1092,Low,2022-04-06,21,22:00-00:00,2022-04-20 - 2022-04-30
1100,Low,2022-04-02,24,22:00-00:00,2022-04-20 - 2022-04-30
1102,Jam,2022-04-04,41,19:00-22:00,2022-04-20 - 2022-04-30
1115,Medium,2022-04-01,31,16:00-19:00,2022-04-10 - 2022-04-20
1126,Jam,2022-04-01,32,19:00-22:00,2022-04-10 - 2022-04-20
1132,Medium,2022-04-01,16,16:00-19:00,2022-04-10 - 2022-04-20
1150,Low,2022-04-05,19,22:00-00:00,2022-04-20 - 2022-04-30
1158,Low,2022-04-01,22,22:00-00:00,2022-04-10 - 2022-04-20
1160,Low,2022-04-04,37,22:00-00:00,2022-04-20 - 2022-04-30
1167,Medium,2022-04-04,25,16:00-19:00,2022-04-20 - 2022-04-30
1169,Low,2022-04-04,17,22:00-00:00,2022-04-20 - 2022-04-30
1174,Low,2022-04-01,18,07:00-10:00,2022-04-10 - 2022-04-20
1184,Jam,2022-04-03,25,19:00-22:00,2022-04-20 - 2022-04-30
1188,Low,2022-04-01,21,22:00-00:00,2022-04-10 - 2022-04-20
1204,Jam,2022-04-01,29,19:00-22:00,2022-04-10 - 2022-04-20
1207,Medium,2022-04-05,20,16:00-19:00,2022-04-20 - 2022-04-30
1211,Low,2022-04-05,24,22:00-00:00,2022-04-20 - 2022-04-30
1212,Jam,2022-04-03,26,19:00-22:00,2022-04-20 - 2022-04-30
1229,Jam,2022-04-06,19,19:00-22:00,2022-04-20 - 2022-04-30
1242,Jam,2022-04-01,27,19:00-22:00,2022-04-10 - 2022-04-20
1243,Medium,2022-04-03,30,13:00-16:00,2022-04-20 - 2022-04-30
1244,Medium,2022-04-03,20,16:00-19:00,2022-04-20 - 2022-04-30
1253,Low,2022-04-01,29,22:00-00:00,2022-04-10 - 2022-04-20
1259,Medium,2022-04-03,26,16:00-19:00,2022-04-20 - 2022-04-30
1267,Medium,2022-04-04,25,16:00-19:00,2022-04-20 - 2022-04-30
1279,Low,2022-04-03,14,22:00-00:00,2022-04-20 - 2022-04-30
1280,Jam,2022-04-02,35,19:00-22:00,2022-04-20 - 2022-04-30
1289,High,2022-04-01,24,13:00-16:00,2022-04-10 - 2022-04-20
1306,Jam,2022-04-06,40,19:00-22:00,2022-04-20 - 2022-04-30
1319,High,2022-04-05,30,10:00-13:00,2022-04-20 - 2022-04-30
1336,High,2022-04-01,33,10:00-13:00,2022-04-10 - 2022-04-20
1352,High,2022-04-03,14,10:00-13:00,2022-04-20 - 2022-04-30
1360,Jam,2022-04-06,44,19:00-22:00,2022-04-20 - 2022-04-30
1368,Low,2022-04-01,22,22:00-00:00,2022-04-10 - 2022-04-20
1371,Jam,2022-04-02,30,19:00-22:00,2022-04-20 - 2022-04-30
1373,Low,2022-04-02,28,22:00-00:00,2022-04-20 - 2022-04-30
1382,Medium,2022-04-06,43,16:00-19:00,2022-04-20 - 2022-04-30
1384,Jam,2022-04-01,11,19:00-22:00,2022-04-10 - 2022-04-20
1393,Medium,2022-04-03,25,13:00-16:00,2022-04-20 - 2022-04-30
1397,Low,2022-04-01,22,10:00-13:00,2022-04-10 - 2022-04-20
1426,Low,2022-04-01,23,10:00-13:00,2022-04-10 - 2022-04-20
1441,Low,2022-04-04,24,22:00-00:00,2022-04-20 - 2022-04-30
1443,High,2022-04-05,34,10:00-13:00,2022-04-20 - 2022-04-30
1449,Low,2022-04-02,18,22:00-00:00,2022-04-20 - 2022-04-30
1453,Jam,2022-04-06,25,19:00-22:00,2022-04-20 - 2022-04-30
1469,Jam,2022-04-06,28,19:00-22:00,2022-04-20 - 2022-04-30
1475,Medium,2022-04-02,37,16:00-19:00,2022-04-20 - 2022-04-30
1484,Medium,2022-04-05,16,13:00-16:00,2022-04-20 - 2022-04-30
1493,Low,2022-04-03,18,22:00-00:00,2022-04-20 - 2022-04-30
1494,Low,2022-04-05,19,22:00-00:00,2022-04-20 - 2022-04-30
1522,Medium,2022-04-01,29,16:00-19:00,2022-04-10 - 2022-04-20
1526,Low,2022-04-02,26,22:00-00:00,2022-04-20 - 2022-04-30
1530,Medium,2022-04-03,19,16:00-19:00,2022-04-20 - 2022-04-30
1551,Jam,2022-04-06,28,19:00-22:00,2022-04-20 - 2022-04-30
1562,Low,2022-04-06,13,22:00-00:00,2022-04-20 - 2022-04-30
1566,High,2022-04-03,27,10:00-13:00,2022-04-20 - 2022-04-30
1567,Low,2022-04-03,17,10:00-13:00,2022-04-20 - 2022-04-30
1572,High,2022-04-03,28,13:00-16:00,2022-04-20 - 2022-04-30
1575,Low,2022-04-02,26,22:00-00:00,2022-04-20 - 2022-04-30
1576,Low,2022-04-06,35,22:00-00:00,2022-04-20 - 2022-04-30
1580,Jam,2022-04-01,20,19:00-22:00,2022-04-10 - 2022-04-20
1584,Low,2022-04-05,23,22:00-00:00,2022-04-20 - 2022-04-30
1589,Jam,2022-04-01,30,19:00-22:00,2022-04-10 - 2022-04-20
1595,Low,2022-04-05,28,22:00-00:00,2022-04-20 - 2022-04-30
1604,High,2022-04-03,25,10:00-13:00,2022-04-20 - 2022-04-30
1612,Jam,2022-04-06,20,19:00-22:00,2022-04-20 - 2022-04-30
1616,Medium,2022-04-06,24,16:00-19:00,2022-04-20 - 2022-04-30
1617,High,2022-04-01,23,10:00-13:00,2022-04-10 - 2022-04-20
1634,Jam,2022-04-04,34,19:00-22:00,2022-04-20 - 2022-04-30
1640,Low,2022-04-01,24,22:00-00:00,2022-04-10 - 2022-04-20
1652,Jam,2022-04-02,27,19:00-22:00,2022-04-20 - 2022-04-30
1660,Low,2022-04-03,19,07:00-10:00,2022-04-20 - 2022-04-30
1667,Jam,2022-04-03,21,19:00-22:00,2022-04-20 - 2022-04-30
1668,Medium,2022-04-01,29,16:00-19:00,2022-04-10 - 2022-04-20
1680,Medium,2022-04-03,16,16:00-19:00,2022-04-20 - 2022-04-30
1683,High,2022-04-01,49,10:00-13:00,2022-04-10 - 2022-04-20
1685,Low,2022-04-01,18,22:00-00:00,2022-04-10 - 2022-04-20
1692,Low,2022-04-06,22,22:00-00:00,2022-04-20 - 2022-04-30
1700,Jam,2022-04-04,36,19:00-22:00,2022-04-20 - 2022-04-30
1703,Jam,2022-04-01,30,19:00-22:00,2022-04-10 - 2022-04-20
1719,High,2022-04-01,28,13:00-16:00,2022-04-10 - 2022-04-20
1730,Low,2022-04-01,17,10:00-13:00,2022-04-10 - 2022-04-20
1734,Medium,2022-04-04,26,16:00-19:00,2022-04-20 - 2022-04-30
1746,Jam,2022-04-02,33,19:00-22:00,2022-04-20 - 2022-04-30
1752,Low,2022-04-05,19,00:00-04:00,2022-04-20 - 2022-04-30
1763,Medium,2022-04-01,21,16:00-19:00,2022-04-10 - 2022-04-20
1778,Jam,2022-04-06,12,19:00-22:00,2022-04-20 - 2022-04-30
1787,Low,2022-04-04,17,22:00-00:00,2022-04-20 - 2022-04-30
1788,Jam,2022-04-05,27,19:00-22:00,2022-04-20 - 2022-04-30
1795,Low,2022-04-05,18,07:00-10:00,2022-04-20 - 2022-04-30
1798,Low,2022-04-02,16,22:00-00:00,2022-04-20 - 2022-04-30
1799,Jam,2022-04-01,19,19:00-22:00,2022-04-10 - 2022-04-20
1803,High,2022-04-01,37,10:00-13:00,2022-04-10 - 2022-04-20
1809,Jam,2022-04-01,46,19:00-22:00,2022-04-10 - 2022-04-20
1818,Low,2022-04-02,21,22:00-00:00,2022-04-20 - 2022-04-30
1824,High,2022-04-03,33,13:00-16:00,2022-04-20 - 2022-04-30
1830,Jam,2022-04-04,46,19:00-22:00,2022-04-20 - 2022-04-30
1834,Medium,2022-04-06,23,16:00-19:00,2022-04-20 - 2022-04-30
1839,High,2022-04-03,28,10:00-13:00,2022-04-20 - 2022-04-30
1862,High,2022-04-05,33,10:00-13:00,2022-04-20 - 2022-04-30
1873,High,2022-04-01,32,10:00-13:00,2022-04-10 - 2022-04-20
1874,Low,2022-04-03,11,07:00-10:00,2022-04-20 - 2022-04-30
1890,Low,2022-04-01,29,22:00-00:00,2022-04-10 - 2022-04-20
1891,Jam,2022-04-06,44,19:00-22:00,2022-04-20 - 2022-04-30
1908,Jam,2022-04-01,15,19:00-22:00,2022-04-10 - 2022-04-20
1910,Jam,2022-04-05,30,19:00-22:00,2022-04-20 - 2022-04-30
1912,High,2022-04-05,25,10:00-13:00,2022-04-20 - 2022-04-30
1916,Low,2022-04-03,19,07:00-10:00,2022-04-20 - 2022-04-30
1921,Low,2022-04-01,16,10:00-13:00,2022-04-10 - 2022-04-20
1934,Low,2022-04-03,16,07:00-10:00,2022-04-20 - 2022-04-30
1936,Jam,2022-04-04,19,19:00-22:00,2022-04-20 - 2022-04-30
1940,Jam,2022-04-01,33,19:00-22:00,2022-04-10 - 2022-04-20
1951,Jam,2022-04-04,40,19:00-22:00,2022-04-20 - 2022-04-30
1960,Jam,2022-04-02,39,19:00-22:00,2022-04-20 - 2022-04-30
1966,Low,2022-04-01,15,10:00-13:00,2022-04-10 - 2022-04-20
1970,Jam,2022-04-04,28,19:00-22:00,2022-04-20 - 2022-04-30
1972,Medium,2022-04-04,24,16:00-19:00,2022-04-20 - 2022-04-30
1973,Jam,2022-04-03,18,19:00-22:00,2022-04-20 - 2022-04-30
1975,Medium,2022-04-05,15,16:00-19:00,2022-04-20 - 2022-04-30
1979,Medium,2022-04-04,28,16:00-19:00,2022-04-20 - 2022-04-30
1991,Low,2022-04-06,36,22:00-00:00,2022-04-20 - 2022-04-30
1992,Low,2022-04-01,29,07:00-10:00,2022-04-10 - 2022-04-20
2006,Medium,2022-04-05,17,13:00-16:00,2022-04-20 - 2022-04-30
2017,High,2022-04-03,38,10:00-13:00,2022-04-20 - 2022-04-30
2018,Jam,2022-04-04,45,19:00-22:00,2022-04-20 - 2022-04-30
2022,Jam,2022-04-01,21,19:00-22:00,2022-04-10 - 2022-04-20
2023,Jam,2022-04-02,34,19:00-22:00,2022-04-20 - 2022-04-30
2032,Jam,2022-04-02,42,19:00-22:00,2022-04-20 - 2022-04-30
2039,High,2022-04-05,21,10:00-13:00,2022-04-20 - 2022-04-30
2046,Medium,2022-04-04,37,16:00-19:00,2022-04-20 - 2022-04-30
2054,Low,2022-04-04,25,22:00-00:00,2022-04-20 - 2022-04-30
2055,Medium,2022-04-05,20,16:00-19:00,2022-04-20 - 2022-04-30
2065,Low,2022-04-03,12,07:00-10:00,2022-04-20 - 2022-04-30
2066,Medium,2022-04-02,41,19:00-22:00,2022-04-20 - 2022-04-30
2091,Jam,2022-04-02,22,19:00-22:00,2022-04-20 - 2022-04-30
2118,Medium,2022-04-02,33,16:00-19:00,2022-04-20 - 2022-04-30
2120,Low,2022-04-05,29,22:00-00:00,2022-04-20 - 2022-04-30
2124,Jam,2022-04-02,42,19:00-22:00,2022-04-20 - 2022-04-30
2135,Jam,2022-04-02,49,19:00-22:00,2022-04-20 - 2022-04-30
2150,Low,2022-04-03,17,22:00-00:00,2022-04-20 - 2022-04-30
2153,Low,2022-04-03,20,22:00-00:00,2022-04-20 - 2022-04-30
2154,Jam,2022-04-06,47,19:00-22:00,2022-04-20 - 2022-04-30
2155,Medium,2022-04-02,39,16:00-19:00,2022-04-20 - 2022-04-30
2160,Medium,2022-04-04,39,16:00-19:00,2022-04-20 - 2022-04-30
2163,Medium,2022-04-02,32,16:00-19:00,2022-04-20 - 2022-04-30
2169,Low,2022-04-01,23,07:00-10:00,2022-04-10 - 2022-04-20
2187,Medium,2022-04-04,23,19:00-22:00,2022-04-20 - 2022-04-30
2192,Low,2022-04-04,29,22:00-00:00,2022-04-20 - 2022-04-30
2204,Low,2022-04-02,29,22:00-00:00,2022-04-20 - 2022-04-30
2212,Jam,2022-04-03,31,19:00-22:00,2022-04-20 - 2022-04-30
2224,Low,2022-04-02,27,22:00-00:00,2022-04-20 - 2022-04-30
2231,Low,2022-04-05,28,07:00-10:00,2022-04-20 - 2022-04-30
2270,Low,2022-04-02,16,22:00-00:00,2022-04-20 - 2022-04-30
2283,Low,2022-04-06,25,22:00-00:00,2022-04-20 - 2022-04-30
2294,Low,2022-04-01,10,22:00-00:00,2022-04-10 - 2022-04-20
2295,Medium,2022-04-06,42,16:00-19:00,2022-04-20 - 2022-04-30
2296,Jam,2022-04-04,40,19:00-22:00,2022-04-20 - 2022-04-30
2302,Low,2022-04-03,19,10:00-13:00,2022-04-20 - 2022-04-30
2312,Jam,2022-04-06,47,19:00-22:00,2022-04-20 - 2022-04-30
2313,Medium,2022-04-02,31,16:00-19:00,2022-04-20 - 2022-04-30
2323,Jam,2022-04-06,44,19:00-22:00,2022-04-20 - 2022-04-30
2326,Jam,2022-04-06,32,19:00-22:00,2022-04-20 - 2022-04-30
2328,Medium,2022-04-03,16,16:00-19:00,2022-04-20 - 2022-04-30
2333,Jam,2022-04-02,44,19:00-22:00,2022-04-20 - 2022-04-30
2336,Low,2022-04-01,16,22:00-00:00,2022-04-10 - 2022-04-20
2342,Jam,2022-04-06,30,19:00-22:00,2022-04-20 - 2022-04-30
2343,Medium,2022-04-06,29,16:00-19:00,2022-04-20 - 2022-04-30
2346,Medium,2022-04-03,30,16:00-19:00,2022-04-20 - 2022-04-30
2355,Low,2022-04-02,24,22:00-00:00,2022-04-20 - 2022-04-30
2358,Jam,2022-04-06,25,19:00-22:00,2022-04-20 - 2022-04-30
2360,Low,2022-04-04,23,22:00-00:00,2022-04-20 - 2022-04-30
2362,Jam,2022-04-06,44,19:00-22:00,2022-04-20 - 2022-04-30
2366,Low,2022-04-05,20,10:00-13:00,2022-04-20 - 2022-04-30
2370,Low,2022-04-03,20,22:00-00:00,2022-04-20 - 2022-04-30
2373,Jam,2022-04-06,54,19:00-22:00,2022-04-20 - 2022-04-30
2385,Low,2022-04-02,21,22:00-00:00,2022-04-20 - 2022-04-30
2393,Jam,2022-04-04,27,19:00-22:00,2022-04-20 - 2022-04-30
2404,Jam,2022-04-02,42,19:00-22:00,2022-04-20 - 2022-04-30
2407,Medium,2022-04-02,39,16:00-19:00,2022-04-20 - 2022-04-30
2416,Medium,2022-04-01,23,16:00-19:00,2022-04-10 - 2022-04-20
2420,Low,2022-04-05,15,07:00-10:00,2022-04-20 - 2022-04-30
2423,Low,2022-04-06,26,22:00-00:00,2022-04-20 - 2022-04-30
2425,Jam,2022-04-03,18,19:00-22:00,2022-04-20 - 2022-04-30
2435,Medium,2022-04-06,22,16:00-19:00,2022-04-20 - 2022-04-30
2438,Medium,2022-04-05,27,16:00-19:00,2022-04-20 - 2022-04-30
2440,Low,2022-04-01,26,07:00-10:00,2022-04-10 - 2022-04-20
2453,Jam,2022-04-06,21,19:00-22:00,2022-04-20 - 2022-04-30
2456,Low,2022-04-05,19,22:00-00:00,2022-04-20 - 2022-04-30
2458,Medium,2022-04-01,34,16:00-19:00,2022-04-10 - 2022-04-20
2462,Low,2022-04-03,16,00:00-04:00,2022-04-20 - 2022-04-30
2471,High,2022-04-01,29,13:00-16:00,2022-04-10 - 2022-04-20
2490,Jam,2022-04-06,23,22:00-00:00,2022-04-20 - 2022-04-30
2499,Low,2022-04-05,16,10:00-13:00,2022-04-20 - 2022-04-30
2505,Low,2022-04-05,12,22:00-00:00,2022-04-20 - 2022-04-30
2508,Jam,2022-04-04,41,19:00-22:00,2022-04-20 - 2022-04-30
2514,Medium,2022-04-05,26,16:00-19:00,2022-04-20 - 2022-04-30
2517,Medium,2022-04-06,27,16:00-19:00,2022-04-20 - 2022-04-30
2534,Jam,2022-04-02,41,19:00-22:00,2022-04-20 - 2022-04-30
2542,Jam,2022-04-06,40,19:00-22:00,2022-04-20 - 2022-04-30
2549,Low,2022-04-03,32,10:00-13:00,2022-04-20 - 2022-04-30
2559,High,2022-04-05,21,10:00-13:00,2022-04-20 - 2022-04-30
2560,Jam,2022-04-05,15,19:00-22:00,2022-04-20 - 2022-04-30
2576,Low,2022-04-02,28,22:00-00:00,2022-04-20 - 2022-04-30
2577,Medium,2022-04-01,29,16:00-19:00,2022-04-10 - 2022-04-20
2579,Medium,2022-04-04,36,16:00-19:00,2022-04-20 - 2022-04-30
2589,Low,2022-04-04,16,22:00-00:00,2022-04-20 - 2022-04-30
2600,Medium,2022-04-06,26,16:00-19:00,2022-04-20 - 2022-04-30
2602,Low,2022-04-03,25,07:00-10:00,2022-04-20 - 2022-04-30
2618,Medium,2022-04-01,11,16:00-19:00,2022-04-10 - 2022-04-20
2656,High,2022-04-03,33,10:00-13:00,2022-04-20 - 2022-04-30
2661,Jam,2022-04-04,47,19:00-22:00,2022-04-20 - 2022-04-30
2663,Low,2022-04-04,17,22:00-00:00,2022-04-20 - 2022-04-30
2664,High,2022-04-05,31,13:00-16:00,2022-04-20 - 2022-04-30
2679,Jam,2022-04-05,51,19:00-22:00,2022-04-20 - 2022-04-30
2683,Low,2022-04-01,22,07:00-10:00,2022-04-10 - 2022-04-20
2696,Jam,2022-04-05,27,19:00-22:00,2022-04-20 - 2022-04-30
2703,Medium,2022-04-02,35,16:00-19:00,2022-04-20 - 2022-04-30
2705,Medium,2022-04-03,25,13:00-16:00,2022-04-20 - 2022-04-30
2715,Jam,2022-04-06,36,19:00-22:00,2022-04-20 - 2022-04-30
2722,Low,2022-04-03,24,22:00-00:00,2022-04-20 - 2022-04-30
2741,Medium,2022-04-06,35,19:00-22:00,2022-04-20 - 2022-04-30
2748,Low,2022-04-05,12,07:00-10:00,2022-04-20 - 2022-04-30
